County,"Population estimates, July 1, 2019,  (V2019)","Population estimates base, April 1, 2010,  (V2019)","Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","Population, Census, April 1, 2010","Persons under 5 years, percent","Persons under 18 years, percent","Persons 65 years and over, percent","Female persons, percent","White alone, percent","Black or African American alone, percent","American Indian and Alaska Native alone, percent","Asian alone, percent","Native Hawaiian and Other Pacific Islander alone, percent","Two or More Races, percent","Hispanic or Latino, percent","White alone, not Hispanic or Latino, percent","Veterans, 2015-2019","Foreign born persons, percent, 2015-2019","Housing units,  July 1, 2019,  (V2019)","Owner-occupied housing unit rate, 2015-2019","Median value of owner-occupied housing units, 2015-2019","Median selected monthly owner costs -with a mortgage, 2015-2019","Median selected monthly owner costs -without a mortgage, 2015-2019","Median gross rent, 2015-2019","Building permits, 2019","Households, 2015-2019","Persons per household, 2015-2019","Living in same house 1 year ago, percent of persons age 1 year+, 2015-2019","Language other than English spoken at home, percent of persons age 5 years+, 2015-2019","Households with a computer, percent, 2015-2019","Households with a broadband Internet subscription, percent, 2015-2019","High school graduate or higher, percent of persons age 25 years+, 2015-2019","Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019","With a disability, under age 65 years, percent, 2015-2019","Persons  without health insurance, under age 65 years, percent","In civilian labor force, total, percent of population age 16 years+, 2015-2019","In civilian labor force, female, percent of population age 16 years+, 2015-2019","Total accommodation and food services sales, 2012 ($1,000)","Total health care and social assistance receipts/revenue, 2012 ($1,000)","Total manufacturers shipments, 2012 ($1,000)","Total merchant wholesaler sales, 2012 ($1,000)","Total retail sales, 2012 ($1,000)","Total retail sales per capita, 2012","Mean travel time to work (minutes), workers age 16 years+, 2015-2019","Median household income (in 2019 dollars), 2015-2019","Per capita income in past 12 months (in 2019 dollars), 2015-2019","Persons in poverty, percent","Total employer establishments, 2018","Total employment, 2018","Total annual payroll, 2018 ($1,000)","Total employment, percent change, 2017-2018","Total nonemployer establishments, 2018","All firms, 2012","Men-owned firms, 2012","Women-owned firms, 2012","Minority-owned firms, 2012","Nonminority-owned firms, 2012","Veteran-owned firms, 2012","Nonveteran-owned firms, 2012","Population per square mile, 2010","Land area in square miles, 2010",FIPS_County_Code
Alameda County,1671329.0,1510258.0,10.7,1510271.0,5.7,20.3,14.3,50.7,49.3,11.0,1.1,32.3,0.9,5.4,22.3,30.6,48602.0,32.5,622922.0,53.5,769300.0,2931.0,690.0,1797.0,6402.0,577177.0,2.82,87.2,45.6,94.3,88.9,88.4,47.4,5.6,5.0,67.0,61.0,3192420.0,12949087.0,,37580616.0,20901014.0,13444.0,34.3,99406.0,47314.0,8.9,40508.0,698915.0,51985430.0,1.2,150445.0,150564.0,76387.0,57305.0,75026.0,69300.0,10213.0,134032.0,2043.6,739.02,1.0
Alpine County,1129.0,1175.0,-3.9,1175.0,4.3,17.7,26.4,46.1,67.9,0.4,25.7,1.6,,4.4,12.3,61.3,79.0,5.1,1782.0,84.0,365300.0,1875.0,515.0,538.0,5.0,350.0,2.87,90.9,9.7,92.9,82.6,91.2,34.5,12.8,7.0,46.0,41.6,,,,,576.0,510.0,18.1,63750.0,36739.0,17.2,40.0,521.0,8855.0,-9.7,105.0,125.0,,49.0,,115.0,,116.0,1.6,738.33,3.0
Amador County,39752.0,38091.0,4.4,38091.0,4.1,15.1,27.5,45.6,89.6,2.7,2.3,1.7,0.3,3.4,14.5,77.3,3810.0,6.0,18625.0,76.5,313700.0,1774.0,561.0,1103.0,119.0,14594.0,2.38,87.7,10.6,90.8,84.6,90.0,19.3,12.6,6.0,44.1,45.2,242022.0,147701.0,139631.0,,321498.0,8681.0,32.7,62772.0,31987.0,9.8,831.0,8205.0,322707.0,0.1,2835.0,2807.0,1383.0,921.0,259.0,2453.0,258.0,2363.0,64.1,594.58,5.0
Butte County,219186.0,220005.0,-0.4,220000.0,5.5,20.3,18.4,50.5,85.7,1.9,2.5,5.0,0.3,4.6,17.2,70.9,14209.0,7.3,86209.0,59.0,271700.0,1640.0,488.0,1060.0,1426.0,85320.0,2.57,81.2,15.3,92.5,85.4,89.2,27.2,12.6,7.7,56.3,53.4,350474.0,1434454.0,1341089.0,,2576900.0,11632.0,20.9,52537.0,29506.0,16.1,4770.0,63965.0,2592281.0,2.2,13121.0,16240.0,8370.0,5341.0,1858.0,13644.0,1766.0,13509.0,134.4,1636.46,7.0
Calaveras County,45905.0,45578.0,0.7,45578.0,4.5,17.1,28.0,50.2,91.0,1.1,2.0,1.9,0.3,3.9,13.0,79.9,4491.0,4.8,28181.0,77.8,319500.0,1891.0,565.0,1339.0,117.0,16942.0,2.66,89.0,7.2,89.6,82.3,90.2,18.3,15.1,7.4,47.4,45.1,69645.0,108936.0,,,252345.0,5640.0,38.3,63158.0,33456.0,12.1,912.0,6375.0,236580.0,1.5,3591.0,3387.0,1861.0,1008.0,291.0,2983.0,392.0,2799.0,44.7,1020.01,9.0
Colusa County,21547.0,21407.0,0.7,21419.0,6.9,27.1,14.9,49.1,91.1,1.3,2.8,1.6,0.6,2.7,60.4,34.1,830.0,27.0,8125.0,61.0,265200.0,1590.0,458.0,889.0,37.0,7227.0,2.94,87.8,51.7,86.8,81.0,71.3,15.0,8.9,11.5,62.3,54.7,97807.0,41246.0,474519.0,428726.0,127885.0,5973.0,25.7,59401.0,26932.0,12.0,378.0,4055.0,181095.0,4.5,1051.0,1138.0,539.0,306.0,397.0,656.0,55.0,944.0,18.6,1150.73,11.0
Contra Costa County,1153526.0,1049204.0,9.9,1049025.0,5.6,22.4,16.3,51.1,65.1,9.5,1.0,18.3,0.6,5.4,26.0,42.7,46968.0,25.4,418707.0,65.9,625800.0,2745.0,725.0,1819.0,2687.0,394769.0,2.87,87.6,35.8,95.2,91.7,89.5,42.4,7.5,5.9,64.8,58.8,1659988.0,8262635.0,33681210.0,6887164.0,11847866.0,10974.0,38.7,99716.0,48178.0,7.9,24286.0,340960.0,23960120.0,1.3,100779.0,93083.0,47721.0,34296.0,35831.0,53403.0,7291.0,81940.0,1465.2,715.94,13.0
Del Norte County,27812.0,28610.0,-2.8,28610.0,5.2,20.9,18.4,45.4,78.1,3.5,9.7,3.1,0.2,5.4,20.1,62.0,2048.0,7.6,11434.0,63.1,218800.0,1400.0,437.0,878.0,30.0,9945.0,2.47,82.3,12.1,89.2,79.7,80.1,14.8,14.6,7.3,44.1,47.2,32299.0,121283.0,41171.0,,192759.0,6814.0,14.5,45283.0,23674.0,17.9,401.0,4074.0,139160.0,0.6,1326.0,1686.0,727.0,578.0,241.0,1367.0,257.0,1295.0,28.4,1006.37,15.0
El Dorado County,192843.0,181058.0,6.5,181058.0,4.6,19.8,21.9,50.1,88.6,1.0,1.3,4.8,0.2,3.9,13.2,77.2,13604.0,9.2,91660.0,75.7,460900.0,2281.0,655.0,1260.0,596.0,70974.0,2.63,85.2,12.2,94.1,87.2,93.4,34.3,8.5,5.7,57.9,53.2,319784.0,680939.0,517354.0,316707.0,1597758.0,8849.0,30.0,83377.0,42749.0,8.7,4602.0,46655.0,2300251.0,1.1,17441.0,16711.0,8514.0,5445.0,2340.0,13840.0,1659.0,14367.0,106.0,1707.88,17.0
Fresno County,999101.0,930507.0,7.4,930450.0,7.6,28.2,12.6,50.1,76.6,5.8,3.0,11.1,0.3,3.2,53.8,28.6,36125.0,21.2,336473.0,53.3,255000.0,1631.0,484.0,998.0,3393.0,307906.0,3.14,85.8,44.6,89.2,80.2,76.0,21.2,9.2,8.8,60.9,55.2,1226169.0,5325615.0,8658325.0,9266337.0,9117752.0,9619.0,23.1,53969.0,24422.0,20.5,17118.0,270631.0,11841989.0,3.4,55668.0,59569.0,30341.0,22727.0,30912.0,26343.0,4556.0,51988.0,156.2,5957.99,19.0
