Fact,"Colusa County, California","Calaveras County, California","Butte County, California","Amador County, California","Alpine County, California","Alameda County, California"
"Population estimates, July 1, 2019,  (V2019)","21,547","45,905","219,186","39,752","1,129","1,671,329"
"Population estimates base, April 1, 2010,  (V2019)","21,407","45,578","220,005","38,091","1,175","1,510,258"
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)",0.70%,0.70%,-0.40%,4.40%,-3.90%,10.70%
"Population, Census, April 1, 2010","21,419","45,578","220,000","38,091","1,175","1,510,271"
"Persons under 5 years, percent",6.90%,4.50%,5.50%,4.10%,4.30%,5.70%
"Persons under 18 years, percent",27.10%,17.10%,20.30%,15.10%,17.70%,20.30%
"Persons 65 years and over, percent",14.90%,28.00%,18.40%,27.50%,26.40%,14.30%
"Female persons, percent",49.10%,50.20%,50.50%,45.60%,46.10%,50.70%
"White alone, percent",91.10%,91.00%,85.70%,89.60%,67.90%,49.30%
"Black or African American alone, percent",1.30%,1.10%,1.90%,2.70%,0.40%,11.00%
"American Indian and Alaska Native alone, percent",2.80%,2.00%,2.50%,2.30%,25.70%,1.10%
"Asian alone, percent",1.60%,1.90%,5.00%,1.70%,1.60%,32.30%
"Native Hawaiian and Other Pacific Islander alone, percent",0.60%,0.30%,0.30%,0.30%,X,0.90%
"Two or More Races, percent",2.70%,3.90%,4.60%,3.40%,4.40%,5.40%
"Hispanic or Latino, percent",60.40%,13.00%,17.20%,14.50%,12.30%,22.30%
"White alone, not Hispanic or Latino, percent",34.10%,79.90%,70.90%,77.30%,61.30%,30.60%
"Veterans, 2015-2019",830,"4,491","14,209","3,810",79,"48,602"
"Foreign born persons, percent, 2015-2019",27.00%,4.80%,7.30%,6.00%,5.10%,32.50%
"Housing units,  July 1, 2019,  (V2019)","8,125","28,181","86,209","18,625","1,782","622,922"
"Owner-occupied housing unit rate, 2015-2019",61.00%,77.80%,59.00%,76.50%,84.00%,53.50%
"Median value of owner-occupied housing units, 2015-2019","$265,200 ","$319,500 ","$271,700 ","$313,700 ","$365,300 ","$769,300 "
"Median selected monthly owner costs -with a mortgage, 2015-2019","$1,590 ","$1,891 ","$1,640 ","$1,774 ","$1,875 ","$2,931 "
"Median selected monthly owner costs -without a mortgage, 2015-2019",$458 ,$565 ,$488 ,$561 ,$515 ,$690 
"Median gross rent, 2015-2019",$889 ,"$1,339 ","$1,060 ","$1,103 ",$538 ,"$1,797 "
"Building permits, 2019",37,117,"1,426",119,5,"6,402"
"Households, 2015-2019","7,227","16,942","85,320","14,594",350,"577,177"
"Persons per household, 2015-2019",2.94,2.66,2.57,2.38,2.87,2.82
"Living in same house 1 year ago, percent of persons age 1 year+, 2015-2019",87.80%,89.00%,81.20%,87.70%,90.90%,87.20%
"Language other than English spoken at home, percent of persons age 5 years+, 2015-2019",51.70%,7.20%,15.30%,10.60%,9.70%,45.60%
"Households with a computer, percent, 2015-2019",86.80%,89.60%,92.50%,90.80%,92.90%,94.30%
"Households with a broadband Internet subscription, percent, 2015-2019",81.00%,82.30%,85.40%,84.60%,82.60%,88.90%
"High school graduate or higher, percent of persons age 25 years+, 2015-2019",71.30%,90.20%,89.20%,90.00%,91.20%,88.40%
"Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019",15.00%,18.30%,27.20%,19.30%,34.50%,47.40%
"With a disability, under age 65 years, percent, 2015-2019",8.90%,15.10%,12.60%,12.60%,12.80%,5.60%
"Persons  without health insurance, under age 65 years, percent",11.50%,7.40%,7.70%,6.00%,7.00%,5.00%
"In civilian labor force, total, percent of population age 16 years+, 2015-2019",62.30%,47.40%,56.30%,44.10%,46.00%,67.00%
"In civilian labor force, female, percent of population age 16 years+, 2015-2019",54.70%,45.10%,53.40%,45.20%,41.60%,61.00%
"Total accommodation and food services sales, 2012 ($1,000)","97,807","69,645","350,474","242,022",D,"3,192,420"
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","41,246","108,936","1,434,454","147,701",D,"12,949,087"
"Total manufacturers shipments, 2012 ($1,000)","474,519",D,"1,341,089","139,631",X,D
"Total merchant wholesaler sales, 2012 ($1,000)","428,726",D,D,D,X,"37,580,614"
"Total retail sales, 2012 ($1,000)","127,885","252,345","2,576,900","321,498",576,"20,901,014"
