Fact,"Yuba County, California","Yolo County, California","Ventura County, California","Tuolumne County, California"
"Population estimates, July 1, 2019,  (V2019)","78,668","220,500","846,006","54,478"
"Population estimates base, April 1, 2010,  (V2019)","72,142","200,855","823,398","55,368"
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)",9.00%,9.80%,2.70%,-1.60%
"Population, Census, April 1, 2010","72,155","200,849","823,318","55,365"
"Persons under 5 years, percent",7.80%,5.30%,5.70%,4.40%
"Persons under 18 years, percent",27.40%,20.80%,22.60%,16.80%
"Persons 65 years and over, percent",13.10%,12.90%,16.20%,27.00%
"Female persons, percent",49.40%,51.50%,50.50%,48.20%
"White alone, percent",78.40%,74.00%,84.10%,90.30%
"Black or African American alone, percent",4.50%,3.00%,2.40%,2.00%
"American Indian and Alaska Native alone, percent",2.90%,1.80%,1.90%,2.30%
"Asian alone, percent",7.30%,15.10%,7.90%,1.50%
"Native Hawaiian and Other Pacific Islander alone, percent",0.60%,0.60%,0.30%,0.30%
"Two or More Races, percent",6.40%,5.60%,3.50%,3.60%
"Hispanic or Latino, percent",29.10%,31.90%,43.20%,12.70%
"White alone, not Hispanic or Latino, percent",54.00%,46.00%,44.70%,79.70%
"Veterans, 2015-2019","5,882","7,678","39,781","5,190"
"Foreign born persons, percent, 2015-2019",12.80%,23.20%,21.80%,4.80%
"Housing units,  July 1, 2019,  (V2019)","29,049","79,263","291,512","31,700"
"Owner-occupied housing unit rate, 2015-2019",60.50%,51.60%,63.20%,71.30%
"Median value of owner-occupied housing units, 2015-2019","$257,100 ","$424,900 ","$588,400 ","$289,200 "
"Median selected monthly owner costs -with a mortgage, 2015-2019","$1,677 ","$2,225 ","$2,567 ","$1,748 "
"Median selected monthly owner costs -without a mortgage, 2015-2019",$446 ,$580 ,$617 ,$571 
"Median gross rent, 2015-2019","$1,002 ","$1,324 ","$1,776 ","$1,009 "
"Building permits, 2019",538,895,"1,146",66
"Households, 2015-2019","26,354","74,296","271,040","22,502"
"Persons per household, 2015-2019",2.84,2.81,3.08,2.24
"Living in same house 1 year ago, percent of persons age 1 year+, 2015-2019",83.10%,79.30%,89.70%,83.60%
"Language other than English spoken at home, percent of persons age 5 years+, 2015-2019",25.30%,38.00%,38.40%,7.90%
"Households with a computer, percent, 2015-2019",90.50%,94.00%,92.70%,90.50%
"Households with a broadband Internet subscription, percent, 2015-2019",83.10%,88.30%,88.20%,82.00%
"High school graduate or higher, percent of persons age 25 years+, 2015-2019",82.30%,86.50%,85.00%,90.70%
"Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019",17.10%,41.40%,33.80%,20.50%
"With a disability, under age 65 years, percent, 2015-2019",11.20%,6.00%,6.80%,14.20%
"Persons  without health insurance, under age 65 years, percent",7.80%,6.80%,9.40%,6.20%
"In civilian labor force, total, percent of population age 16 years+, 2015-2019",56.10%,60.10%,65.00%,48.20%
"In civilian labor force, female, percent of population age 16 years+, 2015-2019",50.50%,56.10%,59.10%,47.70%
"Total accommodation and food services sales, 2012 ($1,000)","54,774","656,580","1,597,442","92,814"
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","396,851","846,965","3,987,634","345,557"
"Total manufacturers shipments, 2012 ($1,000)","107,200","2,538,431","8,333,976","173,104"
"Total merchant wholesaler sales, 2012 ($1,000)",D,"6,762,093",D,D
"Total retail sales, 2012 ($1,000)","390,218","1,968,762","11,194,185","573,262"
"Total retail sales per capita, 2012","$5,351 ","$9,645 ","$13,390 ","$10,614 "
"Mean travel time to work (minutes), workers age 16 years+, 2015-2019",30,24,27.2,26.9
"Median household income (in 2019 dollars), 2015-2019","$58,054 ","$70,228 ","$88,131 ","$60,108 "
"Per capita income in past 12 months (in 2019 dollars), 2015-2019","$25,583 ","$34,515 ","$38,595 ","$34,702 "
"Persons in poverty, percent",15.20%,16.90%,8.20%,11.30%
"Total employer establishments, 2018",798,"4,195","21,344","1,281"
"Total employment, 2018","10,096","67,490","264,123","12,741"
"Total annual payroll, 2018 ($1,000)","471,655","3,299,921","14,565,661","542,100"
"Total employment, percent change, 2017-2018",-2.10%,2.30%,2.30%,-0.70%
"Total nonemployer establishments, 2018","3,742","13,931","70,479","4,246"
"All firms, 2012","3,432","13,884","76,285","4,466"
"Men-owned firms, 2012","1,687","6,840","39,995","2,140"
"Women-owned firms, 2012","1,357","5,186","26,682","1,484"
"Minority-owned firms, 2012",958,"4,258","25,161",350
"Nonminority-owned firms, 2012","2,345","8,826","48,210","3,939"
"Veteran-owned firms, 2012",311,"1,078","5,861",444
"Nonveteran-owned firms, 2012","2,935","11,829","67,137","3,596"
"Population per square mile, 2010",114.2,197.9,446.7,24.9
"Land area in square miles, 2010",631.84,"1,014.69","1,843.13","2,220.88"
FIPS Code,"""06115""","""06113""","""06111""","""06109"""
