Fact,"Lassen County, California","Lake County, California","Kings County, California","Kern County, California","Inyo County, California","Imperial County, California"
"Population estimates, July 1, 2019,  (V2019)","30,573","64,386","152,940","900,202","18,039","181,215"
"Population estimates base, April 1, 2010,  (V2019)","34,895","64,662","152,974","839,621","18,542","174,524"
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)",-12.40%,-0.40%,0.00%,7.20%,-2.70%,3.80%
"Population, Census, April 1, 2010","34,895","64,665","152,982","839,631","18,546","174,528"
"Persons under 5 years, percent",4.80%,5.90%,7.60%,7.60%,5.50%,8.00%
"Persons under 18 years, percent",17.30%,21.20%,27.00%,28.80%,20.70%,28.50%
"Persons 65 years and over, percent",15.50%,23.10%,10.50%,11.20%,23.40%,13.30%
"Female persons, percent",37.80%,50.00%,44.90%,48.80%,49.90%,48.70%
"White alone, percent",80.90%,87.00%,80.80%,82.30%,79.80%,90.20%
"Black or African American alone, percent",8.40%,2.10%,7.50%,6.30%,1.20%,3.30%
"American Indian and Alaska Native alone, percent",4.30%,4.50%,3.20%,2.60%,13.50%,2.50%
"Asian alone, percent",1.60%,1.40%,4.40%,5.40%,1.70%,2.10%
"Native Hawaiian and Other Pacific Islander alone, percent",0.90%,0.30%,0.40%,0.30%,0.20%,0.20%
"Two or More Races, percent",4.00%,4.70%,3.70%,3.20%,3.60%,1.70%
"Hispanic or Latino, percent",19.30%,22.00%,55.30%,54.60%,23.40%,85.00%
"White alone, not Hispanic or Latino, percent",64.70%,68.90%,31.30%,32.80%,60.80%,10.00%
"Veterans, 2015-2019","1,984","5,360","9,684","35,594","1,526","5,528"
"Foreign born persons, percent, 2015-2019",5.60%,8.70%,18.90%,19.90%,9.30%,30.70%
"Housing units,  July 1, 2019,  (V2019)","12,784","34,572","46,965","302,898","9,609","58,280"
"Owner-occupied housing unit rate, 2015-2019",67.60%,66.40%,52.30%,58.30%,65.50%,58.30%
"Median value of owner-occupied housing units, 2015-2019","$203,000 ","$219,400 ","$215,900 ","$213,900 ","$269,100 ","$195,800 "
"Median selected monthly owner costs -with a mortgage, 2015-2019","$1,449 ","$1,561 ","$1,459 ","$1,527 ","$1,873 ","$1,458 "
"Median selected monthly owner costs -without a mortgage, 2015-2019",$389 ,$505 ,$446 ,$452 ,$483 ,$451 
"Median gross rent, 2015-2019",$956 ,$978 ,$990 ,$978 ,$919 ,$830 
"Building permits, 2019",12,88,409,"2,261",8,398
"Households, 2015-2019","9,280","25,660","43,452","270,282","7,950","44,829"
"Persons per household, 2015-2019",2.26,2.46,3.13,3.17,2.18,3.81
"Living in same house 1 year ago, percent of persons age 1 year+, 2015-2019",73.50%,82.60%,81.90%,86.10%,88.50%,88.00%
"Language other than English spoken at home, percent of persons age 5 years+, 2015-2019",18.40%,16.20%,41.50%,44.20%,17.20%,76.50%
"Households with a computer, percent, 2015-2019",85.20%,87.40%,90.50%,87.50%,91.60%,87.20%
"Households with a broadband Internet subscription, percent, 2015-2019",78.80%,76.60%,80.40%,79.70%,80.30%,77.50%
"High school graduate or higher, percent of persons age 25 years+, 2015-2019",83.20%,85.80%,73.40%,74.10%,88.60%,69.70%
"Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019",12.90%,15.50%,14.70%,16.40%,27.20%,15.20%
"With a disability, under age 65 years, percent, 2015-2019",13.30%,13.40%,8.60%,7.80%,6.60%,9.10%
"Persons  without health insurance, under age 65 years, percent",4.80%,8.90%,8.50%,9.00%,7.80%,8.20%
"In civilian labor force, total, percent of population age 16 years+, 2015-2019",34.60%,50.90%,51.80%,58.00%,58.30%,52.10%
"In civilian labor force, female, percent of population age 16 years+, 2015-2019",49.40%,48.20%,51.50%,52.40%,56.60%,51.10%
"Total accommodation and food services sales, 2012 ($1,000)","35,984","88,833","378,595","1,092,151","99,615","182,646"
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","84,085","256,618","587,818","3,675,000","121,556","511,132"
"Total manufacturers shipments, 2012 ($1,000)",X,"80,536","2,904,014","6,890,714",D,"1,465,960"
"Total merchant wholesaler sales, 2012 ($1,000)",D,D,"746,638","6,987,888",D,"1,599,144"
"Total retail sales, 2012 ($1,000)","215,837","522,337","1,031,953","8,640,550","229,032","1,676,853"
"Total retail sales per capita, 2012","$6,413 ","$8,164 ","$6,818 ","$10,092 ","$12,383 ","$9,477 "
"Mean travel time to work (minutes), workers age 16 years+, 2015-2019",20.6,30.7,22.8,23.3,16.5,22.1
"Median household income (in 2019 dollars), 2015-2019","$56,352 ","$47,040 ","$57,848 ","$53,350 ","$57,316 ","$47,622 "
"Per capita income in past 12 months (in 2019 dollars), 2015-2019","$22,134 ","$27,362 ","$22,373 ","$23,326 ","$32,590 ","$18,018 "
"Persons in poverty, percent",16.50%,18.30%,16.00%,19.00%,11.70%,22.00%
"Total employer establishments, 2018",406,"1,104","1,638","13,040",504,"2,561"
"Total employment, 2018","3,480","9,951","26,315","197,072","5,190","32,846"
"Total annual payroll, 2018 ($1,000)","134,114","407,417","1,068,151","9,024,948","211,129","1,165,728"
"Total employment, percent change, 2017-2018",-2.20%,1.50%,5.00%,3.90%,0.30%,2.30%
"Total nonemployer establishments, 2018","1,116","3,898","5,119","49,553","1,299","10,098"
"All firms, 2012","1,236","4,466","6,091","51,393","1,717","11,202"
"Men-owned firms, 2012",564,"2,293","3,083","25,177",732,"5,340"
"Women-owned firms, 2012",410,"1,624","2,112","20,004",591,"4,765"
"Minority-owned firms, 2012",231,639,"2,862","26,610",362,"8,501"
"Nonminority-owned firms, 2012",938,"3,713","2,876","23,006","1,256","2,330"
"Veteran-owned firms, 2012",97,503,691,"3,770",98,608
"Nonveteran-owned firms, 2012","1,025","3,812","5,039","45,383","1,552","10,000"
"Population per square mile, 2010",7.7,51.5,110.1,103.3,1.8,41.8
"Land area in square miles, 2010","4,541.18","1,256.46","1,389.42","8,131.92","10,180.88","4,176.60"
FIPS Code,"""06035""","""06033""","""06031""","""06029""","""06027""","""06025"""
