Fact,"Merced County, California","Mendocino County, California","Mariposa County, California","Marin County, California","Madera County, California","Los Angeles County, California"
"Population estimates, July 1, 2019,  (V2019)","277,680","86,749","17,203","258,826","157,327","10,039,107"
"Population estimates base, April 1, 2010,  (V2019)","255,796","87,850","18,247","252,430","150,834","9,819,968"
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)",8.60%,-1.30%,-5.70%,2.50%,4.30%,2.20%
"Population, Census, April 1, 2010","255,793","87,841","18,251","252,409","150,865","9,818,605"
"Persons under 5 years, percent",7.70%,5.70%,4.20%,4.50%,7.30%,5.80%
"Persons under 18 years, percent",29.30%,21.10%,16.10%,19.80%,27.40%,21.40%
"Persons 65 years and over, percent",11.40%,23.10%,28.90%,23.00%,14.30%,14.10%
"Female persons, percent",49.50%,50.40%,49.10%,51.10%,51.80%,50.70%
"White alone, percent",82.20%,86.10%,89.30%,85.30%,85.90%,70.70%
"Black or African American alone, percent",3.90%,1.10%,1.30%,2.80%,4.20%,9.00%
"American Indian and Alaska Native alone, percent",2.50%,6.30%,3.50%,1.00%,4.40%,1.40%
"Asian alone, percent",7.80%,2.30%,1.60%,6.60%,2.60%,15.40%
"Native Hawaiian and Other Pacific Islander alone, percent",0.40%,0.30%,0.20%,0.30%,0.30%,0.40%
"Two or More Races, percent",3.20%,3.90%,4.00%,4.00%,2.60%,3.10%
"Hispanic or Latino, percent",61.00%,25.80%,12.10%,16.30%,58.80%,48.60%
"White alone, not Hispanic or Latino, percent",26.50%,64.30%,79.30%,71.10%,33.20%,26.10%
"Veterans, 2015-2019","9,225","5,941","1,485","10,516","6,317","261,742"
"Foreign born persons, percent, 2015-2019",26.30%,12.40%,5.80%,18.10%,20.20%,34.00%
"Housing units,  July 1, 2019,  (V2019)","86,388","41,027","10,445","113,344","51,438","3,579,329"
"Owner-occupied housing unit rate, 2015-2019",52.20%,59.90%,68.40%,63.70%,64.10%,45.80%
"Median value of owner-occupied housing units, 2015-2019","$252,700 ","$377,500 ","$275,700 ","$995,800 ","$251,200 ","$583,200 "
"Median selected monthly owner costs -with a mortgage, 2015-2019","$1,493 ","$1,906 ","$1,659 ","$3,649 ","$1,551 ","$2,498 "
"Median selected monthly owner costs -without a mortgage, 2015-2019",$460 ,$499 ,$447 ,$922 ,$478 ,$608 
"Median gross rent, 2015-2019","$1,021 ","$1,146 ",$929 ,"$2,069 ","$1,014 ","$1,460 "
"Building permits, 2019",948,132,35,240,644,"21,565"
"Households, 2015-2019","80,008","34,408","7,643","105,432","44,881","3,316,795"
"Persons per household, 2015-2019",3.32,2.47,2.13,2.4,3.28,2.99
"Living in same house 1 year ago, percent of persons age 1 year+, 2015-2019",86.60%,86.90%,87.60%,86.40%,87.90%,89.70%
"Language other than English spoken at home, percent of persons age 5 years+, 2015-2019",53.30%,21.40%,9.60%,21.90%,45.30%,56.60%
"Households with a computer, percent, 2015-2019",91.10%,87.80%,86.30%,95.00%,89.80%,92.00%
"Households with a broadband Internet subscription, percent, 2015-2019",83.90%,81.10%,74.90%,91.30%,79.90%,84.30%
"High school graduate or higher, percent of persons age 25 years+, 2015-2019",69.10%,86.50%,90.60%,93.30%,71.90%,79.10%
"Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019",13.80%,24.40%,24.60%,59.50%,14.60%,32.50%
