Fact,"Orange County, California","Nevada County, California","Napa County, California","Monterey County, California","Mono County, California","Modoc County, California"
"Population estimates, July 1, 2019,  (V2019)","3,175,692","99,755","137,744","434,061","14,444","8,841"
"Population estimates base, April 1, 2010,  (V2019)","3,008,989","98,747","136,535","415,059","14,206","9,682"
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)",5.50%,1.00%,0.90%,4.60%,1.70%,-8.70%
"Population, Census, April 1, 2010","3,010,232","98,764","136,484","415,057","14,202","9,686"
"Persons under 5 years, percent",5.80%,4.20%,4.80%,6.90%,4.80%,4.80%
"Persons under 18 years, percent",21.70%,17.00%,20.20%,26.00%,17.80%,19.40%
"Persons 65 years and over, percent",15.30%,28.40%,19.70%,14.00%,16.10%,27.50%
"Female persons, percent",50.70%,50.90%,50.20%,49.10%,47.00%,49.70%
"White alone, percent",71.10%,93.30%,83.60%,82.80%,90.10%,88.20%
"Black or African American alone, percent",2.10%,0.60%,2.50%,3.40%,0.80%,1.40%
"American Indian and Alaska Native alone, percent",1.00%,1.30%,1.30%,2.60%,2.90%,5.10%
"Asian alone, percent",21.70%,1.50%,8.90%,6.70%,2.60%,1.20%
"Native Hawaiian and Other Pacific Islander alone, percent",0.40%,0.20%,0.40%,0.60%,0.40%,0.40%
"Two or More Races, percent",3.60%,3.10%,3.30%,3.80%,3.30%,3.70%
"Hispanic or Latino, percent",34.00%,9.80%,34.60%,59.40%,26.80%,14.60%
"White alone, not Hispanic or Latino, percent",39.80%,84.70%,51.80%,29.40%,65.80%,77.20%
"Veterans, 2015-2019","107,811","8,015","7,363","16,874",705,780
"Foreign born persons, percent, 2015-2019",30.10%,4.80%,22.10%,29.80%,19.70%,7.50%
"Housing units,  July 1, 2019,  (V2019)","1,118,110","54,809","55,647","143,201","14,208","5,276"
"Owner-occupied housing unit rate, 2015-2019",57.40%,74.20%,64.20%,51.00%,64.40%,74.90%
"Median value of owner-occupied housing units, 2015-2019","$679,300 ","$431,000 ","$635,900 ","$516,600 ","$312,500 ","$140,600 "
"Median selected monthly owner costs -with a mortgage, 2015-2019","$2,789 ","$2,112 ","$2,665 ","$2,265 ","$1,851 ","$1,149 "
"Median selected monthly owner costs -without a mortgage, 2015-2019",$651 ,$628 ,$675 ,$593 ,$538 ,$334 
"Median gross rent, 2015-2019","$1,854 ","$1,273 ","$1,700 ","$1,495 ","$1,206 ",$717 
"Building permits, 2019","8,989",502,749,480,69,6
"Households, 2015-2019","1,037,492","40,855","48,705","127,155","4,765","3,616"
"Persons per household, 2015-2019",3.01,2.4,2.78,3.27,2.93,2.33
"Living in same house 1 year ago, percent of persons age 1 year+, 2015-2019",87.30%,89.10%,88.90%,88.20%,83.90%,83.00%
"Language other than English spoken at home, percent of persons age 5 years+, 2015-2019",45.60%,7.60%,34.90%,55.20%,26.30%,12.80%
"Households with a computer, percent, 2015-2019",95.30%,92.60%,93.60%,90.50%,92.60%,78.30%
"Households with a broadband Internet subscription, percent, 2015-2019",90.70%,85.70%,89.10%,84.20%,84.10%,69.70%
"High school graduate or higher, percent of persons age 25 years+, 2015-2019",85.50%,94.40%,85.50%,71.50%,88.60%,84.80%
"Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019",40.60%,37.20%,35.70%,24.70%,28.80%,15.20%
"With a disability, under age 65 years, percent, 2015-2019",5.00%,9.30%,7.50%,5.50%,4.00%,8.90%
"Persons  without health insurance, under age 65 years, percent",8.10%,6.80%,8.00%,11.90%,10.20%,9.40%
"In civilian labor force, total, percent of population age 16 years+, 2015-2019",65.50%,54.70%,65.10%,59.50%,72.00%,43.90%
"In civilian labor force, female, percent of population age 16 years+, 2015-2019",58.40%,49.60%,60.10%,54.30%,70.50%,44.50%
"Total accommodation and food services sales, 2012 ($1,000)","9,050,642","231,154","774,149","1,328,768","246,872","8,304"
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","20,682,197","525,893","1,360,685","2,150,972","69,406","33,918"
"Total manufacturers shipments, 2012 ($1,000)","47,299,399","319,706","4,623,531","2,258,929",D,D
"Total merchant wholesaler sales, 2012 ($1,000)","97,795,982",D,D,"5,775,222",D,D
"Total retail sales, 2012 ($1,000)","45,193,625","1,012,263","1,699,004","4,457,401","139,784","45,741"
"Total retail sales per capita, 2012","$14,625 ","$10,299 ","$12,219 ","$10,445 ","$9,742 ","$4,904 "
"Mean travel time to work (minutes), workers age 16 years+, 2015-2019",28,25.5,25.6,23.4,15.1,16.1
"Median household income (in 2019 dollars), 2015-2019","$90,234 ","$66,096 ","$88,596 ","$71,015 ","$62,260 ","$45,507 "
"Per capita income in past 12 months (in 2019 dollars), 2015-2019","$41,514 ","$39,233 ","$45,195 ","$30,073 ","$34,552 ","$22,843 "
"Persons in poverty, percent",9.50%,9.40%,7.40%,12.60%,10.10%,20.50%
"Total employer establishments, 2018","98,442","3,108","4,317","8,765",614,154
"Total employment, 2018","1,531,111","29,483","64,285","116,241","7,036","1,137"
"Total annual payroll, 2018 ($1,000)","91,976,053","1,230,985","3,588,207","5,533,432","226,382","45,228"
"Total employment, percent change, 2017-2018",1.90%,1.40%,0.20%,2.70%,4.10%,-8.30%
"Total nonemployer establishments, 2018","323,593","12,499","12,334","25,963","1,443",590
"All firms, 2012","340,116","11,822","14,236","30,151","1,750",427
"Men-owned firms, 2012","180,456","6,086","7,574","15,108",987,162
"Women-owned firms, 2012","119,431","3,818","4,309","10,537",518,194
"Minority-owned firms, 2012","145,603","1,029","3,192","11,087",230,55
"Nonminority-owned firms, 2012","182,028","10,382","10,398","17,358","1,467",350
