Fact,"Santa Barbara County, California","San Mateo County, California","San Luis Obispo County, California","San Joaquin County, California","San Francisco County, California","San Diego County, California"
"Population estimates, July 1, 2019,  (V2019)","446,499","766,573","283,111","762,148","881,549","3,338,330"
"Population estimates base, April 1, 2010,  (V2019)","423,947","718,517","269,597","685,306","805,184","3,095,349"
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)",5.30%,6.70%,5.00%,11.20%,9.50%,7.80%
"Population, Census, April 1, 2010","423,895","718,451","269,637","685,306","805,235","3,095,313"
"Persons under 5 years, percent",6.10%,5.50%,4.50%,6.90%,4.50%,6.10%
"Persons under 18 years, percent",22.10%,20.20%,17.50%,26.80%,13.40%,21.40%
"Persons 65 years and over, percent",15.70%,16.60%,20.90%,13.10%,16.10%,14.50%
"Female persons, percent",50.00%,50.50%,49.40%,50.10%,49.00%,49.70%
"White alone, percent",85.40%,59.50%,88.80%,66.10%,52.80%,75.40%
"Black or African American alone, percent",2.40%,2.80%,2.00%,8.30%,5.60%,5.50%
"American Indian and Alaska Native alone, percent",2.10%,0.90%,1.40%,2.00%,0.70%,1.30%
"Asian alone, percent",6.00%,30.60%,4.00%,17.40%,36.00%,12.60%
"Native Hawaiian and Other Pacific Islander alone, percent",0.30%,1.50%,0.20%,0.80%,0.50%,0.60%
"Two or More Races, percent",3.80%,4.80%,3.60%,5.50%,4.50%,4.60%
"Hispanic or Latino, percent",46.00%,24.00%,22.90%,42.00%,15.20%,34.10%
"White alone, not Hispanic or Latino, percent",43.80%,38.70%,68.50%,30.50%,40.20%,45.00%
"Veterans, 2015-2019","21,027","25,027","16,767","29,013","23,619","217,188"
"Foreign born persons, percent, 2015-2019",23.00%,34.80%,10.10%,23.30%,34.30%,23.40%
"Housing units,  July 1, 2019,  (V2019)","159,246","280,450","123,963","248,636","406,413","1,233,777"
"Owner-occupied housing unit rate, 2015-2019",52.10%,60.20%,61.60%,56.60%,37.60%,53.30%
"Median value of owner-occupied housing units, 2015-2019","$577,400 ","$1,089,400 ","$574,000 ","$342,100 ","$1,097,800 ","$563,700 "
"Median selected monthly owner costs -with a mortgage, 2015-2019","$2,364 ","$3,533 ","$2,351 ","$1,907 ","$3,647 ","$2,578 "
"Median selected monthly owner costs -without a mortgage, 2015-2019",$634 ,$765 ,$613 ,$523 ,$704 ,$621 
"Median gross rent, 2015-2019","$1,643 ","$2,316 ","$1,476 ","$1,208 ","$1,895 ","$1,658 "
"Building permits, 2019","1,175","1,352","1,094","3,499","3,200","8,216"
"Households, 2015-2019","145,856","263,543","105,981","228,567","362,354","1,125,286"
"Persons per household, 2015-2019",2.91,2.87,2.51,3.17,2.36,2.87
"Living in same house 1 year ago, percent of persons age 1 year+, 2015-2019",80.90%,88.00%,82.20%,86.80%,85.60%,84.70%
"Language other than English spoken at home, percent of persons age 5 years+, 2015-2019",40.30%,45.70%,18.00%,40.90%,42.90%,37.60%
"Households with a computer, percent, 2015-2019",92.90%,95.30%,94.00%,91.00%,93.10%,94.90%
"Households with a broadband Internet subscription, percent, 2015-2019",87.80%,91.00%,88.00%,82.90%,87.60%,90.20%
