Fact,"Tulare County, California","Trinity County, California","Tehama County, California","Sutter County, California","Stanislaus County, California","Sonoma County, California"
"Population estimates, July 1, 2019,  (V2019)","466,195","12,285","65,084","96,971","550,660","494,336"
"Population estimates base, April 1, 2010,  (V2019)","442,182","13,784","63,440","94,756","514,450","483,861"
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)",5.40%,-10.90%,2.60%,2.30%,7.00%,2.20%
"Population, Census, April 1, 2010","442,179","13,786","63,463","94,737","514,453","483,878"
"Persons under 5 years, percent",7.80%,4.60%,6.10%,6.90%,7.10%,4.80%
"Persons under 18 years, percent",30.50%,17.30%,23.80%,25.80%,27.00%,19.30%
"Persons 65 years and over, percent",11.60%,28.30%,19.60%,15.60%,13.40%,20.70%
"Female persons, percent",50.00%,48.60%,50.30%,50.20%,50.40%,51.20%
"White alone, percent",88.20%,87.00%,90.20%,72.70%,83.30%,86.80%
"Black or African American alone, percent",2.20%,0.80%,1.10%,2.70%,3.50%,2.10%
"American Indian and Alaska Native alone, percent",2.80%,5.20%,3.30%,2.40%,2.00%,2.20%
"Asian alone, percent",4.00%,1.50%,1.40%,17.00%,6.10%,4.60%
"Native Hawaiian and Other Pacific Islander alone, percent",0.20%,0.20%,0.20%,0.40%,0.90%,0.40%
"Two or More Races, percent",2.70%,5.30%,3.70%,4.80%,4.20%,4.00%
"Hispanic or Latino, percent",65.60%,7.40%,25.80%,31.90%,47.60%,27.30%
"White alone, not Hispanic or Latino, percent",27.70%,81.90%,67.30%,44.90%,40.40%,62.90%
"Veterans, 2015-2019","14,633","1,150","4,392","5,986","21,051","25,613"
"Foreign born persons, percent, 2015-2019",21.80%,4.70%,8.40%,22.20%,20.30%,16.40%
"Housing units,  July 1, 2019,  (V2019)","151,603","9,013","27,840","34,583","182,978","208,305"
"Owner-occupied housing unit rate, 2015-2019",57.10%,68.90%,65.40%,57.70%,57.80%,61.50%
"Median value of owner-occupied housing units, 2015-2019","$205,000 ","$287,700 ","$215,900 ","$279,400 ","$291,600 ","$609,600 "
"Median selected monthly owner costs -with a mortgage, 2015-2019","$1,420 ","$1,454 ","$1,411 ","$1,677 ","$1,702 ","$2,441 "
"Median selected monthly owner costs -without a mortgage, 2015-2019",$421 ,$355 ,$413 ,$504 ,$503 ,$649 
"Median gross rent, 2015-2019",$942 ,$799 ,$872 ,"$1,033 ","$1,155 ","$1,621 "
"Building permits, 2019","1,872",16,152,140,699,"2,429"
"Households, 2015-2019","138,238","5,939","24,189","32,636","173,898","189,374"
"Persons per household, 2015-2019",3.3,2.09,2.61,2.91,3.09,2.59
"Living in same house 1 year ago, percent of persons age 1 year+, 2015-2019",88.60%,88.70%,87.10%,85.30%,87.90%,86.50%
"Language other than English spoken at home, percent of persons age 5 years+, 2015-2019",51.30%,8.60%,18.90%,37.30%,42.90%,25.60%
"Households with a computer, percent, 2015-2019",87.60%,81.60%,86.00%,89.00%,91.60%,94.20%
"Households with a broadband Internet subscription, percent, 2015-2019",77.70%,67.80%,75.70%,82.70%,84.80%,89.50%
"High school graduate or higher, percent of persons age 25 years+, 2015-2019",70.80%,92.40%,84.50%,78.20%,78.90%,88.80%
"Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019",14.60%,19.50%,15.70%,18.20%,17.10%,35.50%
"With a disability, under age 65 years, percent, 2015-2019",8.20%,13.00%,13.40%,8.90%,9.00%,8.00%
"Persons  without health insurance, under age 65 years, percent",9.00%,9.00%,8.10%,9.00%,7.10%,8.20%
"In civilian labor force, total, percent of population age 16 years+, 2015-2019",59.00%,45.30%,53.30%,57.70%,60.90%,64.90%
"In civilian labor force, female, percent of population age 16 years+, 2015-2019",51.10%,43.90%,49.00%,50.70%,53.40%,60.30%
"Total accommodation and food services sales, 2012 ($1,000)","451,880","13,381","65,144","116,640","705,698","1,058,691"
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","1,610,236","27,947","179,484","392,432","3,634,960","3,156,169"
"Total manufacturers shipments, 2012 ($1,000)","8,362,447",D,"449,524","543,504","11,703,620","6,131,694"
"Total merchant wholesaler sales, 2012 ($1,000)","3,890,547",D,"88,813","1,197,304","5,295,116","4,443,204"
"Total retail sales, 2012 ($1,000)","3,903,527","72,655","654,574","1,069,489","5,933,581","6,016,331"
"Total retail sales per capita, 2012","$8,637 ","$5,372 ","$10,324 ","$11,255 ","$11,373 ","$12,233 "
"Mean travel time to work (minutes), workers age 16 years+, 2015-2019",22.6,21.6,23.4,27.5,29.9,25.6
"Median household income (in 2019 dollars), 2015-2019","$49,687 ","$40,846 ","$44,514 ","$59,050 ","$60,704 ","$81,018 "
"Per capita income in past 12 months (in 2019 dollars), 2015-2019","$21,380 ","$26,523 ","$24,301 ","$27,371 ","$26,258 ","$42,178 "
"Persons in poverty, percent",18.90%,16.50%,16.30%,12.80%,13.00%,7.20%
"Total employer establishments, 2018","6,470",246,967,"1,813","9,156","14,304"
"Total employment, 2018","97,726","1,537","12,513","22,670","145,041","177,148"
"Total annual payroll, 2018 ($1,000)","3,949,277","60,871","538,788","970,146","6,675,130","9,639,136"
"Total employment, percent change, 2017-2018",1.10%,-3.10%,1.70%,3.70%,1.50%,2.40%
"Total nonemployer establishments, 2018","21,098",915,"3,307","6,251","30,181","46,153"
"All firms, 2012","23,310","1,123","3,954","5,461","33,036","52,975"
"Men-owned firms, 2012","12,168",543,"2,219","2,907","16,930","26,518"
